app_name,price,id,developer,principal_genre,principal_tag,principal_spec,release_year
The Average Everyday Adventures of Samantha Browne,0.0,445130,Lemonsucker Games,Casual,Free to Play,Single-player,2016
Pang Adventures,9.99,415150,DotEmu,Action,Action,Single-player,2016
Imperia Online,0.0,424780,Imperia Online LTD,Free to Play,Free to Play,MMO,2016
SAMOLIOTIK - SOUNDTRACK,0.99,459240,Itanimulli Games,Action,Action,Single-player,2016
Gahkthun of the Golden Lightning Steam Edition,39.99,458380,Liar-soft,Adventure,Adventure,Single-player,2016
Planetoid Pioneers,9.99,300260,Data Realms,Action,Early Access,Single-player,2016
Zombie Training Simulator,19.99,446620,Sin dato,Sin dato,Action,Single-player,2017
SurrealVR,0.0,461180,Sin dato,Sin dato,Massively Multiplayer,Single-player,2017
"Microcosmum: survival of cells - Campaign  ""New life""",4.99,461200,Alexander Byzov,Action,Casual,Single-player,2016
Spaceport Hope - Soundtrack,0.99,458400,team BitClub,Action,Action,Single-player,2016
Spaceport Hope,1.99,394540,team BitClub,Action,Indie,Single-player,2016
Deer Man,1.99,459940,Sin dato,Sin dato,Indie,Single-player,2017
Combat Racers,6.99,444870,The Major Game Company,Action,Action,Shared/Split Screen,2016
Rocksmith® 2014 – 80s Mix Song Pack,7.99,436607,Ubisoft - San Francisco,Casual,Casual,Single-player,2016
Dying Light- Crash Test Skin Pack,1.99,435111,Techland,Action,Action,Single-player,2016
LOUD on Planet X,7.99,365200,Pop Sandbox,Action,Indie,Single-player,2016
Muddy Heights® 2,2.99,463850,"Rageborn Studio, LLC",Casual,Casual,Single-player,2016
FrightShow Fighter,9.99,455830,3 Fright,Action,Indie,Single-player,2016
Nomad Fleet,9.99,371010,Autarca,Indie,Strategy,Single-player,2015
The Banner Saga 2 - Soundtrack,7.99,425440,Stoic,Indie,RPG,Downloadable Content,2016
Train Simulator: Union Pacific DD35 Add-On,19.99,376934,Digital Train Model,Simulation,Simulation,Single-player,2016
ARCADE GAME SERIES: PAC-MAN,3.99,394160,BANDAI NAMCO Studios Inc.,Action,Action,Single-player,2016
Pterodactyl Edition,8.866131486539212,463990,Kut Stupid,Casual,Indie,Single-player,2016
Unveil,14.99,375210,Particle Studios,Indie,Simulation,Single-player,2016
ARCADE GAME SERIES: DIG DUG,3.99,403400,BANDAI NAMCO Studios Inc.,Action,Action,Single-player,2016
ARCADE GAME SERIES: Ms. PAC-MAN,3.99,403410,BANDAI NAMCO Studios Inc.,Action,Action,Single-player,2016
ARCADE GAME SERIES: GALAGA,3.99,403430,BANDAI NAMCO Studios Inc.,Action,Action,Single-player,2016
Trainz Route: Mojave Sub Division,29.99,454800,N3V Games,Simulation,Simulation,Single-player,2016
Melty Blood Actress Again Current Code,24.99,411370,FRENCH-BREAD,Action,Anime,Single-player,2016
One Way Flight,2.99,463010,SiBear,Casual,Casual,Single-player,2016
Mahjong Deluxe 3,4.99,462220,EnsenaSoft,Casual,Casual,Single-player,2016
Gems of the Aztecs,4.99,429280,Wellore,Casual,Casual,Single-player,2016
Crown and Council,0.0,444250,Mojang,Casual,Strategy,Single-player,2017
Klabi,9.99,461140,Mystic Games,Action,Psychological Horror,Single-player,2016
Jalopy,14.99,446020,Minskworks,Adventure,Early Access,Single-player,2016
Save the Dodos! Soundtrack,1.99,455030,3DDUO,Casual,Indie,Single-player,2016
C14 Dating,19.99,451640,Winter Wolves,Adventure,Indie,Single-player,2016
Link,4.99,454030,Brainwashing Games,Indie,Strategy,Single-player,2016
Action Legion - Soundtrack,1.99,464640,Aeonic Entertainment,Action,Action,Single-player,2016
C14 Dating Wallpapers and Official Soundtrack,4.99,451680,Winter Wolves,Adventure,Adventure,Single-player,2016
The Sea Eternal,6.99,463320,Choice of Games,Adventure,Indie,Single-player,2016
Save the Dodos,2.99,428830,3DDUO,Casual,Casual,Single-player,2016
Best of Us,3.99,464380,Hosted Games,Adventure,Adventure,Single-player,2016
FSX: Steam Edition - JU87 D.5/G.2 Stuka Add-On,24.99,433744,Military Visualizations,Simulation,Simulation,Single-player,2016
The Hunger Games: Mockingjay - Part 2,13.99,453440,Sin dato,Sin dato,Movie,Captions available,2016
Puzzle Box - Soundtrack OST,4.99,464860,BplusGames,Action,Indie,Single-player,2016
8-Bit Armies,14.99,427250,Petroglyph,Indie,Strategy,Single-player,2016
Deck the Halls,3.99,427390,Sin dato,Sin dato,Movie,Captions available,2011
Natural Born Pranksters,4.99,462460,Sin dato,Sin dato,Movie,Captions available,2015
8-Bit Armies - Soundtrack,3.99,462170,Petroglyph,Simulation,Strategy,Single-player,2016
Return of the Living Dead 3,3.99,427350,Sin dato,Sin dato,Movie,Captions available,2001
Leprechaun 2,3.99,427300,Sin dato,Sin dato,Movie,Captions available,1995
Russkies,3.99,427360,Sin dato,Sin dato,Movie,Captions available,1987
Two Family House,3.99,427370,Sin dato,Sin dato,Movie,Captions available,2000
Leprechaun 4: Lost in Space,3.99,427320,Sin dato,Sin dato,Movie,Captions available,2004
Leprechaun,3.99,421370,Sin dato,Sin dato,Movie,Captions available,1993
Leprechaun 3,3.99,427310,Sin dato,Sin dato,Movie,Captions available,2001
Sicario,3.99,453450,Sin dato,Sin dato,Movie,Captions available,2016
The Hunger Games: Catching Fire,3.99,416560,Sin dato,Sin dato,Movie,Captions available,2013
The Hunger Games,3.99,416520,Sin dato,Sin dato,Movie,Captions available,2012
Ender's Game,3.99,417590,Sin dato,Sin dato,Movie,Captions available,2013
Divergent,3.99,417610,Sin dato,Sin dato,Movie,Captions available,2014
Twilight,3.99,426500,Sin dato,Sin dato,Movie,Captions available,2009
The Twilight Saga: Breaking Dawn Part 1,3.99,426530,Sin dato,Sin dato,Movie,Captions available,2012
The Last Witch Hunter,3.99,453920,Sin dato,Sin dato,Movie,Captions available,2016
The Twilight Saga: Breaking Dawn Part 2,3.99,426540,Sin dato,Sin dato,Movie,Captions available,2013
Dredd,3.99,426420,Sin dato,Sin dato,Movie,Captions available,2013
The Twilight Saga: Eclipse,3.99,426520,Sin dato,Sin dato,Movie,Captions available,2010
The Twilight Saga: New Moon,3.99,426510,Sin dato,Sin dato,Movie,Captions available,2010
The Expendables 2,3.99,417640,Sin dato,Sin dato,Movie,Captions available,2012
The Expendables,3.99,417630,Sin dato,Sin dato,Movie,Captions available,2010
Saw 2,3.99,441170,Sin dato,Sin dato,Movie,Captions available,2006
Saw,3.99,441160,Sin dato,Sin dato,Movie,Captions available,2005
Saw 4,3.99,421460,Sin dato,Sin dato,Movie,Captions available,2008
Saw 5,3.99,421470,Sin dato,Sin dato,Movie,Captions available,2009
Saw: The Final Chapter,3.99,421490,Sin dato,Sin dato,Movie,Captions available,2011
Saw 6,3.99,421480,Sin dato,Sin dato,Movie,Captions available,2010
Saw 3,3.99,421450,Sin dato,Sin dato,Movie,Captions available,2007
Now You See Me,3.99,417580,Sin dato,Sin dato,Movie,Captions available,2013
Kill Bill: Volume 1,3.99,426470,Sin dato,Sin dato,Movie,Captions available,2004
Kill Bill: Volume 2,3.99,426480,Sin dato,Sin dato,Movie,Captions available,2005
Pulp Fiction,3.99,417560,Sin dato,Sin dato,Movie,Captions available,1994
Evil Dead 2,3.99,426440,Sin dato,Sin dato,Movie,Captions available,1987
Red,3.99,417670,Sin dato,Sin dato,Movie,Captions available,2010
Raw Deal,3.99,441150,Sin dato,Sin dato,Movie,Captions available,1998
Apocalypse Now Redux,3.99,437240,Sin dato,Sin dato,Movie,Captions available,2010
"House of 1,000 Corpses",3.99,441100,Sin dato,Sin dato,Movie,Captions available,2003
Hostel,3.99,441090,Sin dato,Sin dato,Movie,Captions available,2006
The Devil's Rejects,3.99,441180,Sin dato,Sin dato,Movie,Captions available,2005
Waiting,3.99,441200,Sin dato,Sin dato,Movie,Captions available,2006
Cyborg 2,3.99,441080,Sin dato,Sin dato,Movie,Captions available,1993
The Wash,3.99,441210,Sin dato,Sin dato,Movie,Captions available,2002
Crank,3.99,426350,Sin dato,Sin dato,Movie,Captions available,2007
Cougars Inc.,3.99,437260,Sin dato,Sin dato,Movie,Captions available,2011
Sundown: The Vampire in Retreat,3.99,426450,Sin dato,Sin dato,Movie,Captions available,1991
Octane,3.99,441140,Sin dato,Sin dato,Movie,Captions available,2009
Vampire,3.99,441190,Sin dato,Sin dato,Movie,Captions available,2013
Battle of Empires : 1914-1918 - Real War,0.0,410810,Great War Team,Action,Strategy,Single-player,2016
Leprechaun: Back 2 Tha Hood,3.99,441120,Sin dato,Sin dato,Movie,Captions available,2003
Wayward,7.99,379210,Unlok,Adventure,Early Access,Single-player,2016
Chasing Amy,3.99,421240,Sin dato,Sin dato,Movie,Captions available,1998
Drusilla Dreams,0.99,458060,Seraphim Creations,Casual,Casual,Single-player,2016
Moonchild - Super Savefiles,0.99,464130,Aldorlea Games,Adventure,Adventure,Single-player,2016
Moonchild,9.99,332410,Aldorlea Games,Adventure,RPG,Single-player,2016
REDCON,5.99,449710,Hexage,Indie,Strategy,Single-player,2016
Strategy & Tactics: Wargame Collection,9.99,338130,HeroCraft,Strategy,Strategy,Single-player,2016
CONTASION 2,6.99,428940,Alex Woodcock,Action,Massively Multiplayer,Single-player,2015
CTU: Counter Terrorism Unit,14.99,397320,Odin Game Studio,Action,Strategy,Single-player,2016
Grizzly Valley,4.99,461520,The_Kiddy,Action,Adventure,Single-player,2016
Mini Metal,9.99,454420,Luandun Games Pte. Ltd.,Action,Action,Single-player,2016
One Thousand Lies,0.0,463390,Keinart Lobre,Casual,Free to Play,Single-player,2016
Boss Monster: Tools of Hero-Kind,2.99,363250,Plain Concepts Corp,Casual,Strategy,Single-player,2016
RaceRoom - Nürburgring Legends,16.99,455270,Sector3 Studios,Free to Play,Racing,Single-player,2016
Death by Game Show - The Soundtrack,2.99,464180,Oointah,Action,Strategy,Single-player,2016
RaceRoom - WTCC 2015 Season Pack,34.99,455280,Sector3 Studios,Free to Play,Free to Play,Single-player,2016
Colours of Magic: Aqua Teeter,0.99,464230,RunServer,Casual,Casual,Single-player,2016
So Long Earth Soundtrack,1.99,463310,Érico Temponi,Sin dato,Sin dato,Downloadable Content,2016
Strike Force: Desert Thunder,8.866131486539212,444210,West Forest Games,Action,Indie,Single-player,2016
Demons with Shotguns,9.99,370940,"MindShaft Games, LLC",Action,Action,Single-player,2016
Corpse Party,14.99,251270,GrisGris,Adventure,Horror,Single-player,2016
Ticket to Ride - Nordic countries,4.99,350271,Days of Wonder,Casual,Strategy,Single-player,2016
Otem's Defiance,6.99,434490,HyperBerry Games,Action,Indie,Single-player,2016
HoloBall,14.99,457320,Sin dato,Sin dato,Action,Single-player,2017
Hyperdevotion Noire: Ultimate Resta Set,0.99,426926,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
Hyperdevotion Noire: Ultimate Estelle Set,0.99,426927,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
Hyperdevotion Noire: Ultimate Ein Al Set,0.99,426928,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
Hyperdevotion Noire: Histoire's Value Set,0.99,426929,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
Hyperdevotion Noire: Ultimate Poona Set,0.99,426990,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
Hyperdevotion Noire: Ultimate Ryuka Set,0.99,426993,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
Hyperdevotion Noire: Ultimate Blossom Aizen Set,0.99,426994,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
Hyperdevotion Noire: Ultimate Moru Set,0.99,426991,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
Hyperdevotion Noire: Ultimate Tsunemi Set,0.99,426995,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
Hyperdevotion Noire: Ultimate Ai Masujima Set,0.99,426992,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
Hyperdevotion Noire: Ultimate Lady Wac Set,0.99,426998,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
Hyperdevotion Noire: Ultimate Disc,0.99,426996,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
Hyperdevotion Noire: Ultimate Wyn Set,0.99,426997,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
Hyperdevotion Noire: Ultimate Generia G Set,0.99,426999,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
Hyperdevotion Noire: Ultimate Vio Set,0.99,427001,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
Hyperdevotion Noire: Ultimate Saori Set,0.99,427000,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
Caveman World: Mountains of Unga Boonga,1.99,462960,GrabTheGames Studios,Adventure,Casual,Single-player,2016
Ghoul Kid,0.0,461750,Specter Game Studios,Casual,Free to Play,Single-player,2016
Khaaneph Fleet Pack,6.99,433242,Blackbird Interactive,Strategy,Strategy,Single-player,2016
Steel Ocean - The New Captain Package,9.99,430120,ICE Entertainment,Free to Play,Massively Multiplayer,Multi-player,2016
Steel Ocean - Growth Package,44.99,460240,ICE Entertainment,Free to Play,Massively Multiplayer,Multi-player,2016
8i - Make VR Human,8.866131486539212,462530,Sin dato,Sin dato,Adventure,Single-player,2017
Dashy Square,2.99,461230,"Kastriot Sulejmani,Logan Gerrol",Action,Indie,Single-player,2016
Amaranthine - Original Soundtrack,0.99,465530,Roman Kozhukhov,Action,Action,Single-player,2016
Cornerstone: The Song of Tyrim,19.99,284410,Overflow,Action,Action,Single-player,2016
Endorlight,2.99,428430,Unika Games,Adventure,Indie,Single-player,2016
HITMAN™: Episode 2 - Sapienza,8.866131486539212,439890,"Io-Interactive A/S,Feral Interactive (Linux),Feral Interactive (Mac)",Action,Action,Single-player,2016
Big Pharma: Marketing and Malpractice,5.99,458640,Twice Circled,Indie,Strategy,Single-player,2016
Fantasy Grounds - 5E: Primeval Thule Campaign Setting,19.99,466250,"SmiteWorks USA, LLC",Indie,RPG,Multi-player,2016
King's Quest - Chapter 3: Once Upon a Climb,9.99,360280,The Odd Gentlemen,Adventure,Adventure,Single-player,2016
Rocksmith® 2014 – Crobot - “Nowhere to Hide”,2.99,436608,Ubisoft - San Francisco,Casual,Casual,Single-player,2016
Rocksmith® 2014 – Crobot - “Legend of the Spaceborne Killer”,2.99,436609,Ubisoft - San Francisco,Casual,Casual,Single-player,2016
Rocksmith® 2014 – Crobot - “Fly on the Wall”,2.99,436610,Ubisoft - San Francisco,Casual,Casual,Single-player,2016
Sky Tower,4.99,395880,Sin dato,Sin dato,Indie,Single-player,2017
Rocksmith® 2014 – Crobot Song Pack,7.99,436611,Ubisoft - San Francisco,Casual,Casual,Single-player,2016
Hyperdevotion Noire: Ultimate Noire Set,0.99,426920,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
Hyperdevotion Noire: Goddess Black Heart (Neptunia),29.99,415480,"Idea Factory,Compile Heart,Sting",RPG,Anime,Single-player,2016
Hyperdevotion Noire: Ultimate Blanc Set,0.99,426922,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
Hyperdevotion Noire: Ultimate Neptune Set,0.99,426921,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
Hyperdevotion Noire: Ultimate Vert Set,0.99,426923,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
Hyperdevotion Noire: Ultimate Lee-Fi Set,0.99,426924,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
One Thousand Lies Soundtrack,0.0,464810,Keinart Lobre,Casual,Free to Play,Single-player,2016
Depth - Specimen 7 Tiger Skin,5.99,456050,Digital Confectioners,Action,Action,Single-player,2016
Kindred Spirits on the Roof Drama CD Vol.1,9.99,463750,Sin dato,Sin dato,Anime,Sin dato,2016
The Panic Room,0.0,436160,NIKITA ONLINE,Free to Play,Free to Play,Single-player,2016
Hyperdevotion Noire: Ultimate Lid Set,0.99,426925,"Idea Factory,Compile Heart,Sting",Strategy,Strategy,Single-player,2016
The East New World,4.99,462950,TEN10 Games,Action,Adventure,Single-player,2016
Wailing Heights,9.99,443650,Outsider Games,Adventure,Adventure,Single-player,2016
Wailing Heights - Original Soundtrack and PDF Comic Artbook,4.99,465210,Outsider Games,Adventure,Adventure,Single-player,2016
Epistory - Original Soundtrack,4.99,458530,Fishing Cactus,Action,Action,Single-player,2016
Ori and the Blind Forest: Definitive Edition,19.99,387290,Moon Studios GmbH,Action,Atmospheric,Single-player,2016
Ori and the Blind Forest (Original Soundtrack),9.99,465980,Moon Studios GmbH,Action,Action,Single-player,2016
Ori and the Blind Forest (Additional Soundtrack),0.0,466390,Moon Studios GmbH,Action,Action,Single-player,2016
Rot Gut - OST,1.99,465691,Shotgun Surgeon,Action,Action,Single-player,2016
Awesomenauts - 8-Bit Yoolip Skin,7.99,387984,Ronimo Games,Action,Strategy,Single-player,2016
The Orphan Dreams,3.99,456440,Tayfun Tuna,Adventure,Adventure,Single-player,2016
Townopolis,3.99,462730,Lonely Troops,Casual,Simulation,Single-player,2008
The Orphan Dreams Soundtrack,0.99,463200,Tayfun Tuna,Adventure,Adventure,Single-player,2016
Snooker Nation Championship,4.99,458830,Cherry Pop Games,Indie,Early Access,Single-player,2016
Emerge: Cities of the Apocalypse,7.99,457600,vdweller,Action,Action,Single-player,2016
PICO PARK,4.99,461040,TECOPARK,Action,Casual,Multi-player,2016
Block N Load Theme Music,2.99,367890,Jagex,Action,Action,Single-player,2015
Awesomenauts - Skree Announcer,4.49,399836,Ronimo Games,Action,Strategy,Single-player,2016
Abandoned Knight,2.99,444790,Daniil Hasanov,Action,Casual,Single-player,2016
NORTH,1.99,461890,Outlands,Adventure,Indie,Single-player,2016
iOMoon,5.99,465450,Sin dato,Sin dato,Early Access,Single-player,2017
State of Anarchy,0.99,463210,Lapovich,Action,Indie,Single-player,2016
Falling Stars: War of Empires,19.99,439960,Riveted Games,Indie,Strategy,Single-player,2016
Root Double -Before Crime * After Days- Xtend Edition,34.99,438130,"Yeti,Regista",Adventure,Visual Novel,Single-player,2016
BASEBALL STARS 2,7.99,366230,"SNK CORPORATION,DotEmu",Sports,Sports,Single-player,2016
Magma Chamber,4.99,463240,IndieKeep Games,Action,Early Access,Single-player,2017
Missileman Origins,1.99,461280,Ryan Silberman,Action,Action,Single-player,2017
Train Simulator: DB BR 648 Loco Add-On,19.99,376945,Dovetail Games,Simulation,Simulation,Single-player,2016
CyberLink AudioDirector 6,99.99,435740,CyberLink,Audio Production,Audio Production,Sin dato,2016
Boss Monster,4.99,362350,Plain Concepts Corp,Casual,Strategy,Single-player,2016
Steamroll - Original Soundtrack,0.0,465730,Anticto,Adventure,Adventure,Single-player,2016
Train Simulator: Western Pacific GP20 High Nose Loco Add-On,19.99,222573,Reppo,Sin dato,Sin dato,Downloadable Content,2016
Hero Battle,0.99,463000,Wang Liwen,Action,Massively Multiplayer,Multi-player,2016
FATED: The Silent Oath,9.99,401820,Sin dato,Sin dato,Adventure,Single-player,2017
Offworld Trading Company,19.99,271240,Mohawk Games,Indie,Strategy,Single-player,2016
Avalon Lords: Dawn Rises,0.0,329280,Animus Interactive Inc,Indie,Early Access,Single-player,2016
Blaster Simulator,4.99,446450,United Independent Entertainment GmbH,Action,Simulation,Single-player,2016
Offworld Trading Company - Real Mars Map Pack DLC,2.99,461130,Mohawk Games,Indie,Strategy,Single-player,2016
Offworld Trading Company - Soundtrack DLC,9.99,462280,Mohawk Games,Indie,Strategy,Single-player,2016
FSX: Steam Edition - Northrop T-38A Talon Add-On,39.99,433745,Military Visualisations,Simulation,Simulation,Single-player,2016
Ultimate Fight Manager 2016,14.99,454560,"Snowfall,Night Node Software",Sports,Early Access,Single-player,2016
Hero Siege - Zombie Hunter (Skin),4.99,465600,"Elias Viglione,Jussi Kukkonen",Action,Adventure,Single-player,2016
Bunny Bash,15.99,340680,DarkArts Studios,Action,Early Access,Multi-player,2016
Airline Director 2 - Tycoon Game,4.99,462830,Joona Vartiainen,Indie,Indie,Single-player,2016
FSX: Steam Edition - YF-23 Black Widow II Add-On,12.99,433746,Military Visualisations,Simulation,Simulation,Single-player,2016
The Detail Episode 3 - Devil in The Detail,3.99,436430,Rival Games Ltd,Adventure,Adventure,Single-player,2016
Back in 1995,9.99,433380,Throw the warped code out,Action,Action,Single-player,2016
Pharaonic,14.99,386080,Milkstone Studios,Action,Adventure,Single-player,2016
Cyberpong,8.99,462000,Sin dato,Sin dato,Sports,Single-player,2017
Vega Tank,4.99,442860,Vega Play,Action,Action,Single-player,2016
N.E.R.O.: Nothing Ever Remains Obscure,14.99,377480,Storm in a Teacup,Adventure,Adventure,Single-player,2016
Cubium Dreams,3.99,448260,Igrodelsky,Action,Indie,Single-player,2016
City Z - Soundtrack,0.99,465610,Little Cloud Games,Action,Action,Single-player,2016
Mr Nibbles Forever,0.99,448050,Epic Shrimp,Action,Action,Single-player,2016
Hare In The Hat: The Abyss,0.99,460890,RunServer,Adventure,Indie,Single-player,2016
Puzzle Galaxies,0.99,463710,Evermore Game Studios,Casual,Indie,Single-player,2016
Zombillie,4.99,456810,Forever Entertainment S. A.,Action,Action,Single-player,2016
Abrix the robot - bonus soundtrack DLC,0.99,465340,EJRGames,Casual,Strategy,Single-player,2016
ScriptVOX Studio,29.99,441850,Screaming Bee,Animation &amp; Modeling,Utilities,Steam Cloud,2016
Life in Bunker Soundtrack,1.99,436460,Flox Studios Ltd.,Indie,Strategy,Single-player,2016
Immortal Empire - Starter Pack 1,14.99,465830,Tactic Studios Inc.,Free to Play,Strategy,Single-player,2016
Immortal Empire - Starter Pack 2,14.99,465831,Tactic Studios Inc.,Free to Play,Strategy,Single-player,2016
CitiesCorp Concept - Build Everything on Your Own,19.99,446010,SaintWorks,Indie,Simulation,Single-player,2016
OZMAFIA!!,34.99,303290,Poni-Pachet SY,Adventure,Otome,Single-player,2016
OH! GUIDE!,1.99,464720,RosePortal Games,Adventure,Strategy,Single-player,2016
Crypt of the NecroDancer Extended Soundtrack 2,4.99,467300,Brace Yourself Games,Action,Action,Single-player,2016
The Pit And The Pendulum,3.99,463050,"Paper Pirates,Sokolab",Adventure,Adventure,Single-player,2016
Aselia the Eternal -The Spirit of Eternity Sword-,14.99,445420,Xuse,Casual,RPG,Single-player,2011
Squad - Original Soundtrack Vol. 1 & 2,6.99,453400,Offworld Industries,Action,Strategy,Downloadable Content,2016
Melting Hearts: Our Love Will Grow 2,4.99,459020,John Wizard,Adventure,Simulation,Single-player,2016
Aselia the Eternal Soundtrack,7.99,465320,Xuse,Casual,RPG,Single-player,2016
Secret Of The Royal Throne,6.99,464630,Apar Games,Casual,Casual,Single-player,2016
Experience,1.99,463040,Hipix Studio,Action,Action,Single-player,2016
Event Horizon,5.99,465000,Pavel Zinchenko,Action,Early Access,Single-player,2016
Atulos Online,0.0,449470,Parallaxian Pty Ltd,Adventure,Massively Multiplayer,Single-player,2016
Sector Six,9.99,465020,Aivaras Klimas,Indie,Early Access,Single-player,2016
Astral Domine,2.99,458990,Sin dato,Sin dato,Adventure,Single-player,2017
Atulos Online - Premier Edition,4.99,463360,Sin dato,Adventure,Adventure,Single-player,2016
Hover Cubes: Arena,14.99,396700,Gametology,Action,Early Access,Single-player,2016
Wicce,4.99,465130,Alpheratz*,Action,Action,Single-player,2016
Insane Insects: The Inception,9.99,443070,Bad Cast games,Action,Indie,Single-player,2016
Supraball,0.0,321400,Supra Games,Action,Early Access,Single-player,2016
Immortal Empire - Adventurer Pack,29.99,465832,Tactic Studios Inc.,Free to Play,Strategy,Single-player,2016
Pitfall Planet,9.99,464900,Bonfire Games,Adventure,Casual,Shared/Split Screen,2016
Valiant,8.866131486539212,344180,Sin dato,Sin dato,Early Access,Multi-player,2017
Kathy Rain,14.99,370910,Clifftop Games,Adventure,Point & Click,Single-player,2016
Kismet,6.99,463290,Sin dato,Sin dato,VR,Single-player,2017
Fleeting Ages,1.99,373880,R&amp;G Software,Action,Action,Single-player,2016
The Grandfather,0.99,433750,"Mikeypoo's Games,David Szymanski",Adventure,Adventure,Single-player,2016
Fragments of Him,9.99,428540,Sassybot,Casual,Indie,Single-player,2016
Rocksmith® 2014 – Rise Against Song Pack II,11.99,436617,Ubisoft - San Francisco,Casual,Casual,Single-player,2016
Rocksmith® 2014 – Rise Against - “Re-Education (Through Labor)”,2.99,436612,Ubisoft - San Francisco,Casual,Casual,Single-player,2016
Rocksmith® 2014 – Rise Against - “Audience of One”,2.99,436614,Ubisoft - San Francisco,Casual,Casual,Single-player,2016
Rocksmith® 2014 – Rise Against - “Help Is On The Way”,2.99,436613,Ubisoft - San Francisco,Casual,Casual,Single-player,2016
Rocksmith® 2014 – Rise Against - “Paper Wings”,2.99,436616,Ubisoft - San Francisco,Casual,Casual,Single-player,2016
Rocksmith® 2014 – Rise Against - “Ready to Fall”,2.99,436615,Ubisoft - San Francisco,Casual,Casual,Single-player,2016
Jack Nicklaus Perfect Golf,34.99,288140,PERFECT PARALLEL,Indie,Golf,Single-player,2016
LEGO® MARVEL's Avengers DLC -Classic Black Panther Pack,2.99,449390,"Traveller's Tales,TT Games,Feral Interactive (Mac)",Action,Adventure,Single-player,2016
Share,4.99,448020,HFM Games,Action,Indie,Single-player,2016
Battleborn,0.0,394230,Gearbox Software,Action,FPS,Single-player,2016
Shadow Complex Remastered,14.99,385560,ChAIR Entertainment,Action,Action,Single-player,2016
Influent DLC - हिन्दी [Learn Hindi],4.99,435519,Rob Howland,Indie,Strategy,Single-player,2016
Ricerca VR,0.99,465310,Sin dato,Sin dato,Indie,Single-player,2017
Hazard Perception Test UK 2016/17 Bundle - Driving Test Success,19.99,452950,Imagitech,Education,Education,Sin dato,2016
Ultimate Avengers 2,3.99,467190,Sin dato,Sin dato,Movie,Captions available,2006
Parkitect,19.99,453090,Texel Raptor,Indie,Early Access,Single-player,2016
Ultimate Avengers,3.99,467180,Sin dato,Sin dato,Movie,Captions available,2006
Dr. Strange,3.99,467110,Sin dato,Sin dato,Movie,Captions available,2007
The Invincible Iron Man,3.99,467100,Sin dato,Sin dato,Movie,Captions available,2007
Hulk VS.,3.99,467160,Sin dato,Sin dato,Movie,Captions available,2009
Next Avengers: Heroes of Tomorrow,3.99,467200,Sin dato,Sin dato,Movie,Captions available,2008
Planet Hulk,3.99,467140,Sin dato,Sin dato,Movie,Captions available,2010
Glitchspace,12.99,290060,Sin dato,Sin dato,Indie,Single-player,2017
Thor: Tales of Asgard,3.99,467130,Sin dato,Sin dato,Movie,Captions available,2011
UTOPIA 9 - A Volatile Vacation,11.99,405000,Whalegun,Action,Indie,Single-player,2016
Planet R-12,4.99,408110,"Timushev Vladimir,Composer-Motorin Dmitry (Djinotan)",Action,Indie,Single-player,2016
Hyposphere,2.99,461880,Atum Software,Casual,Indie,Single-player,2016
Fantasy Grounds - 5E: The Crypt of the Sun Lord,6.99,468520,"SmiteWorks USA, LLC",Indie,RPG,Multi-player,2016
Fantasy Grounds - 5E: Devil of Dark Wood,6.99,468610,"SmiteWorks USA, LLC",Indie,RPG,Multi-player,2016
Fantasy Grounds - 5E: Tarin's Crown,5.99,471310,"SmiteWorks USA, LLC",Indie,RPG,Multi-player,2016
Galaxy Cannon Rider,9.99,461580,Coolegion,Action,Action,Single-player,2016
StarBreak,0.0,420790,Crunchy Games,Action,Free to Play,Multi-player,2016
Legionwood 1: Tale of the Two Swords,0.0,461820,Dark Gaia Studios,Casual,Free to Play,Single-player,2016
Rocksmith® 2014 – Of Monsters and Men - “Little Talks”,2.99,436619,Ubisoft - San Francisco,Casual,Casual,Single-player,2016
